,Effective Date,Local Code,Name (English),Name (Japanese),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series)
891,20210331,3141,"WELCIA HOLDINGS CO.,LTD.",ウエルシアホールディングス,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
930,20210331,3197,"SKYLARK HOLDINGS CO.,LTD.",すかいらーくホールディングス,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
943,20210331,3231,"Nomura Real Estate Holdings,Inc.",野村不動産ホールディングス,First Section (Domestic),8050,Real Estate,17,REAL ESTATE ,4,TOPIX Mid400
976,20210331,3288,"Open House Co.,Ltd.",オープンハウス,First Section (Domestic),8050,Real Estate,17,REAL ESTATE ,4,TOPIX Mid400
977,20210331,3289,Tokyu Fudosan Holdings Corporation,東急不動産ホールディングス,First Section (Domestic),8050,Real Estate,17,REAL ESTATE ,4,TOPIX Mid400
979,20210331,3291,"Iida Group Holdings Co.,Ltd.",飯田グループホールディングス,First Section (Domestic),8050,Real Estate,17,REAL ESTATE ,4,TOPIX Mid400
1006,20210331,3349,COSMOS Pharmaceutical Corporation,コスモス薬品,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
1014,20210331,3360,"SHIP HEALTHCARE HOLDINGS,INC.",シップヘルスケアホールディングス,First Section (Domestic),6050,Wholesale Trade,13,COMMERCIAL & WHOLESALE TRADE ,4,TOPIX Mid400
1023,20210331,3382,"Seven & I Holdings Co.,Ltd.",セブン＆アイ・ホールディングス,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,1,TOPIX Core30
1028,20210331,3391,TSURUHA HOLDINGS INC.,ツルハホールディングス,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
1035,20210331,3401,TEIJIN LIMITED,帝人,First Section (Domestic),3100,Textiles and Apparels,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1036,20210331,3402,"TORAY INDUSTRIES,INC.",東レ,First Section (Domestic),3100,Textiles and Apparels,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
1037,20210331,3405,"KURARAY CO.,LTD.",クラレ,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1038,20210331,3407,ASAHI KASEI CORPORATION,旭化成,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
1054,20210331,3436,SUMCO CORPORATION,ＳＵＭＣＯ,First Section (Domestic),3550,Metal Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
1132,20210331,3549,"KUSURI NO AOKI HOLDINGS CO.,LTD.",クスリのアオキホールディングス,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
1143,20210331,3563,Sushiro Global Holdings Ltd.,スシローグローバルホールディングス,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
1152,20210331,3591,WACOAL HOLDINGS CORP.,ワコールホールディングス,First Section (Domestic),3100,Textiles and Apparels,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
