Date,6758.T,7203.T,9984.T,^N225,average
2018-04-26,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-27,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-30,10000,51020.63860131675,10000,,23673.546200438916
2018-05-01,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-02,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-03,10000,51020.63860131675,10000,,23673.546200438916
2018-05-04,10000,,10000,,10000.0
2018-05-07,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-08,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-09,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-10,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-11,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-14,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-15,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-16,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-17,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-18,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-21,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-22,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-23,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-24,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-05-25,10000,48202.730372981874,10000,10000.0,19550.682593245467
2018-05-28,10000,47181.15693490978,10000,10000.0,19295.289233727446
2018-05-29,10000,51945.71892004262,10000,10000.0,20486.429730010655
2018-05-30,10000,58444.83284195607,10000,10000.0,22111.208210489018
2018-05-31,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-01,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-04,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-05,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-06,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-07,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-08,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-11,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-12,10000,64156.38603358991,10000,10000.0,23539.096508397477
