Date,Open,High,Low,Close,predict,isbuy
2018-08-16,21980.8203125,22240.419921875,21871.69921875,22192.0390625,0.5306165396813025,True
2018-08-17,22313.189453125,22340.94921875,22244.099609375,22270.380859375,0.5476576714470864,True
2018-08-20,22267.0703125,22288.310546875,22150.75,22199.0,0.5394408019432594,True
2018-08-21,22110.5390625,22306.830078125,22053.140625,22219.73046875,0.5669342412860187,True
2018-08-22,22270.0390625,22390.19921875,22162.810546875,22362.55078125,0.6193125865755662,True
2018-08-23,22420.669921875,22463.029296875,22377.880859375,22410.8203125,0.5412688097848374,True
2018-08-24,22484.009765625,22602.240234375,22452.419921875,22601.76953125,0.5051908040380875,True
2018-08-27,22693.689453125,22838.060546875,22682.390625,22799.640625,0.5341972049685034,True
2018-08-28,22967.740234375,23006.76953125,22813.470703125,22813.470703125,0.6134055222086622,True
2018-08-29,22820.859375,22968.1796875,22819.970703125,22848.220703125,0.5670689276578559,True
2018-08-30,23020.1796875,23032.169921875,22832.830078125,22869.5,0.4633210349589783,False
2018-08-31,22733.25,22890.609375,22678.029296875,22865.150390625,0.48835240168794747,False
2018-09-03,22819.169921875,22820.48046875,22684.4296875,22707.380859375,0.3115140462927562,False
2018-09-04,22740.05078125,22753.1796875,22612.150390625,22696.900390625,0.5220145665653163,True
2018-09-05,22663.80078125,22692.25,22570.51953125,22580.830078125,0.5307409906158465,True
2018-09-06,22458.970703125,22535.33984375,22416.630859375,22487.939453125,0.5333687703771305,True
2018-09-07,22351.83984375,22372.890625,22172.900390625,22307.060546875,0.5462914294040825,True
2018-09-10,22253.650390625,22396.880859375,22249.609375,22373.08984375,0.5575035355053365,True
2018-09-11,22469.779296875,22667.849609375,22457.099609375,22664.689453125,0.5396578296141553,True
2018-09-12,22702.7109375,22709.369140625,22522.169921875,22604.609375,0.5382686937114841,True
2018-09-13,22657.94921875,22858.41015625,22643.880859375,22821.3203125,0.5683927498632912,True
2018-09-14,23035.779296875,23105.279296875,22965.48046875,23094.669921875,0.5632815827849521,True
2018-09-18,23042.189453125,23481.529296875,23039.259765625,23420.5390625,0.568413838528601,True
2018-09-19,23754.9609375,23842.05078125,23672.51953125,23672.51953125,0.5472765857625612,True
2018-09-20,23752.7890625,23781.75,23582.150390625,23674.9296875,0.5382252759322053,True
2018-09-21,23848.630859375,23971.41015625,23764.05078125,23869.9296875,0.5296846497585348,True
2018-09-25,23881.849609375,23950.98046875,23808.94921875,23940.259765625,0.46687821437238103,False
2018-09-26,23846.599609375,24033.7890625,23833.919921875,24033.7890625,0.43902883582241253,False
2018-09-27,23946.4296875,24089.3203125,23778.0390625,23796.740234375,0.45331331390778506,False
2018-09-28,24080.009765625,24286.099609375,24021.26953125,24120.0390625,0.45476861331999197,False
2018-10-01,24173.369140625,24306.5390625,24123.5,24245.759765625,0.5677545054764603,True
2018-10-02,24376.169921875,24448.0703125,24217.259765625,24270.619140625,0.5257984689175147,True
2018-10-03,24219.189453125,24260.630859375,24030.58984375,24110.9609375,0.5554559193615137,True
2018-10-04,24242.060546875,24247.8203125,23923.259765625,23975.619140625,0.5394217595174534,True
2018-10-05,23781.759765625,23928.619140625,23730.189453125,23783.720703125,0.5593800165017221,True
2018-10-09,23550.470703125,23587.05078125,23442.4609375,23469.390625,0.6017238760835063,True
2018-10-10,23538.919921875,23589.380859375,23373.5390625,23506.0390625,0.5586893411239079,True
2018-10-11,23043.369140625,23051.189453125,22459.01953125,22590.859375,0.42014345224612965,False
2018-10-12,22323.4296875,22711.130859375,22323.4296875,22694.66015625,0.4768004888001146,False
2018-10-15,22501.330078125,22520.58984375,22261.919921875,22271.30078125,0.5850903580991001,True
2018-10-16,22298.19921875,22549.240234375,22269.529296875,22549.240234375,0.5418780619078426,True
2018-10-17,22806.58984375,22959.41015625,22765.580078125,22841.119140625,0.4981358573664629,False
2018-10-18,22871.279296875,22873.130859375,22637.2890625,22658.16015625,0.5273447138668605,True
2018-10-19,22342.0,22551.669921875,22212.5703125,22532.080078125,0.5188207056750735,True
2018-10-22,22374.2109375,22672.25,22271.58984375,22614.8203125,0.5701396507970946,True
2018-10-23,22404.140625,22410.150390625,21993.0703125,22010.779296875,0.6126036237592176,True
2018-10-24,22167.759765625,22207.08984375,21911.419921875,22091.1796875,0.6062747183170736,True
2018-10-25,21676.830078125,21703.2109375,21204.400390625,21268.73046875,0.5530574421213114,True
2018-10-26,21440.83984375,21476.66015625,20971.9296875,21184.599609375,0.5533753612175264,True
2018-10-29,21323.609375,21465.990234375,21109.970703125,21149.80078125,0.5791685048482158,True
2018-10-30,21049.51953125,21568.400390625,21035.880859375,21457.2890625,0.5537348554086158,True
2018-10-31,21569.560546875,21920.4609375,21530.390625,21920.4609375,0.5790079637715709,True
2018-11-01,21906.41015625,21906.41015625,21628.44921875,21687.650390625,0.532893147599057,True
2018-11-02,21761.580078125,22308.419921875,21751.330078125,22243.66015625,0.5234416150366359,True
2018-11-05,22002.470703125,22051.650390625,21865.98046875,21898.990234375,0.5412898242826538,True
2018-11-06,22018.869140625,22160.830078125,21994.279296875,22147.75,0.5410191393478215,True
2018-11-07,22189.740234375,22444.650390625,21996.939453125,22085.80078125,0.5154970069958822,True
2018-11-08,22446.009765625,22583.4296875,22421.0,22486.919921875,0.4904608243190035,False
2018-11-09,22471.310546875,22494.580078125,22226.009765625,22250.25,0.5288588148804361,True
2018-11-12,22121.69921875,22324.009765625,22046.2890625,22269.880859375,0.47907354194641005,False
2018-11-13,21885.240234375,21892.2890625,21484.650390625,21810.51953125,0.5171727444134132,True
2018-11-14,21851.130859375,21990.41015625,21764.880859375,21846.48046875,0.578927234359056,True
2018-11-15,21670.349609375,21818.73046875,21613.529296875,21803.619140625,0.5041329131561539,True
2018-11-16,21804.900390625,21873.740234375,21663.990234375,21680.33984375,0.5438856093019026,True
2018-11-19,21679.029296875,21852.919921875,21665.2890625,21821.16015625,0.548012763422649,True
2018-11-20,21582.689453125,21687.119140625,21526.94921875,21583.119140625,0.5054204202271221,True
2018-11-21,21286.810546875,21555.609375,21243.380859375,21507.5390625,0.5758553413608527,True
2018-11-22,21582.470703125,21684.640625,21484.98046875,21646.55078125,0.39462164708785963,False
2018-11-26,21647.689453125,21838.099609375,21622.599609375,21812.0,0.5751686113234236,True
2018-11-27,21967.98046875,22006.830078125,21816.05078125,21952.400390625,0.5933836848031175,True
2018-11-28,22036.720703125,22216.98046875,22032.720703125,22177.01953125,0.48231044229072795,False
2018-11-29,22360.98046875,22437.94921875,22241.169921875,22262.599609375,0.4543076153090434,False
2018-11-30,22274.970703125,22362.19921875,22231.9609375,22351.060546875,0.5090836691990759,True
2018-12-03,22629.390625,22698.7890625,22550.2890625,22574.759765625,0.6224365685646266,True
2018-12-04,22533.970703125,22576.619140625,22033.41015625,22036.05078125,0.49626345499620855,False
2018-12-05,21755.169921875,21979.1796875,21708.8203125,21919.330078125,0.409325746196398,False
2018-12-06,21766.5,21805.01953125,21307.720703125,21501.619140625,0.5346235970996811,True
2018-12-07,21643.75,21734.939453125,21506.44921875,21678.6796875,0.5335449241791441,True
2018-12-10,21319.470703125,21365.779296875,21169.9609375,21219.5,0.578945448987575,True
2018-12-11,21273.0390625,21279.01953125,21062.310546875,21148.01953125,0.554665891184557,True
2018-12-12,21348.400390625,21631.470703125,21320.720703125,21602.75,0.549386012715317,True
2018-12-13,21755.130859375,21871.33984375,21675.66015625,21816.189453125,0.5742175833049538,True
2018-12-14,21638.9609375,21751.310546875,21353.939453125,21374.830078125,0.6134869382180849,True
2018-12-17,21391.73046875,21563.26953125,21363.669921875,21506.880859375,0.5471470924940731,True
2018-12-18,21275.509765625,21330.359375,21101.439453125,21115.44921875,0.5897596244063276,True
2018-12-19,21107.169921875,21168.619140625,20880.73046875,20987.919921875,0.5788664645485685,True
2018-12-20,20779.9296875,20841.33984375,20282.9296875,20392.580078125,0.5032842993313911,True
2018-12-21,20310.5,20334.73046875,20006.669921875,20166.189453125,0.4784788504782501,False
2018-12-25,19785.4296875,19785.4296875,19117.9609375,19155.740234375,0.40695707760884114,False
2018-12-26,19302.58984375,19530.349609375,18948.580078125,19327.060546875,0.6753173203738153,True
2018-12-27,19706.189453125,20211.5703125,19701.759765625,20077.619140625,0.5358269939485146,True
2018-12-28,19957.880859375,20084.380859375,19900.0390625,20014.76953125,0.49257178615720076,False
2019-01-04,19655.130859375,19692.580078125,19241.369140625,19561.9609375,0.5887596091417783,True
2019-01-07,19944.609375,20266.220703125,19920.80078125,20038.970703125,0.489994901204318,False
2019-01-08,20224.669921875,20347.919921875,20106.359375,20204.0390625,0.4989728691685089,False
2019-01-09,20366.30078125,20494.349609375,20331.19921875,20427.060546875,0.5328920507626416,True
2019-01-10,20270.880859375,20345.919921875,20101.9296875,20163.80078125,0.5173222665170839,True
2019-01-11,20296.44921875,20389.890625,20294.740234375,20359.69921875,0.5314974201575682,True
2019-01-15,20264.8203125,20571.279296875,20204.4296875,20555.2890625,0.5433595951482718,True
2019-01-16,20575.720703125,20580.25,20323.3203125,20442.75,0.4885456114006088,False
2019-01-17,20544.23046875,20571.75,20342.4609375,20402.26953125,0.5333145017141042,True
2019-01-18,20472.810546875,20682.119140625,20454.130859375,20666.0703125,0.5613995998556282,True
2019-01-21,20848.380859375,20892.6796875,20678.259765625,20719.330078125,0.2819060293879159,False
2019-01-22,20770.060546875,20805.9296875,20558.30078125,20622.91015625,0.5195715330422451,True
2019-01-23,20453.439453125,20686.2890625,20438.220703125,20593.720703125,0.48590317504627517,False
2019-01-24,20506.240234375,20620.720703125,20467.58984375,20574.630859375,0.5432421460005784,True
2019-01-25,20598.640625,20844.310546875,20598.640625,20773.560546875,0.5110158857100181,True
2019-01-28,20746.2890625,20759.48046875,20624.55078125,20649.0,0.45162504696067934,False
2019-01-29,20555.439453125,20673.66015625,20406.220703125,20664.640625,0.531199633895011,True
2019-01-30,20701.619140625,20706.26953125,20527.529296875,20556.5390625,0.6301784868990477,True
2019-01-31,20832.91015625,20869.419921875,20682.91015625,20773.490234375,0.4425469452066468,False
2019-02-01,20797.029296875,20929.630859375,20741.98046875,20788.390625,0.48852504860024487,False
2019-02-04,20831.900390625,20922.580078125,20823.6796875,20883.76953125,0.5759750533692704,True
2019-02-05,20960.470703125,20981.23046875,20823.1796875,20844.44921875,0.5443445567370996,True
2019-02-06,20928.869140625,20971.66015625,20860.990234375,20874.060546875,0.5147484887831792,True
2019-02-07,20812.220703125,20844.76953125,20665.509765625,20751.279296875,0.5637040578881956,True
2019-02-08,20510.5,20562.390625,20315.310546875,20333.169921875,0.5552152925622571,True
2019-02-12,20442.55078125,20885.880859375,20428.5703125,20864.2109375,0.6570085284464002,True
2019-02-13,21029.9296875,21213.740234375,20992.880859375,21144.48046875,0.6350497862562174,True
2019-02-14,21147.890625,21235.619140625,21102.16015625,21139.7109375,0.637282094968478,True
2019-02-15,21051.509765625,21051.509765625,20853.330078125,20900.630859375,0.5400138114143981,True
2019-02-18,21217.3203125,21306.359375,21189.970703125,21281.849609375,0.33943785622897926,False
2019-02-19,21256.580078125,21344.169921875,21217.16015625,21302.650390625,0.5802487343065972,True
2019-02-20,21346.0390625,21494.849609375,21315.390625,21431.490234375,0.60839166177351,True
2019-02-21,21422.310546875,21553.349609375,21318.740234375,21464.23046875,0.47636451858336065,False
2019-02-22,21376.359375,21451.23046875,21348.669921875,21425.509765625,0.4895571563243131,False
2019-02-25,21567.66015625,21590.029296875,21505.0703125,21528.23046875,0.4967210305798851,False
2019-02-26,21556.01953125,21610.880859375,21405.83984375,21449.390625,0.49643969272759564,False
2019-02-27,21504.609375,21578.810546875,21492.650390625,21556.509765625,0.5011353552990289,True
2019-02-28,21536.55078125,21536.55078125,21364.08984375,21385.16015625,0.48686797864928355,False
2019-03-01,21490.01953125,21641.580078125,21490.01953125,21602.689453125,0.5248965522481579,True
2019-03-04,21812.810546875,21860.390625,21740.919921875,21822.0390625,0.5694180495292848,True
2019-03-05,21712.80078125,21798.380859375,21659.0390625,21726.279296875,0.494071868515007,False
2019-03-06,21659.029296875,21684.599609375,21550.44921875,21596.810546875,0.5103616561211942,True
2019-03-07,21456.880859375,21472.16015625,21402.119140625,21456.009765625,0.5274546050753449,True
2019-03-08,21339.169921875,21359.3203125,20993.0703125,21025.560546875,0.4994193351981861,False
2019-03-11,21062.75,21145.939453125,20938.0,21125.08984375,0.5788367238330067,True
2019-03-12,21361.609375,21568.48046875,21348.810546875,21503.689453125,0.5542520072760978,True
2019-03-13,21425.76953125,21474.169921875,21198.990234375,21290.240234375,0.5283168119987014,True
2019-03-14,21474.580078125,21522.75,21287.01953125,21287.01953125,0.5427274108312751,True
2019-03-15,21376.73046875,21521.6796875,21374.849609375,21450.849609375,0.5404037167347503,True
2019-03-18,21576.359375,21612.669921875,21500.3203125,21584.5,0.4989767140684005,False
2019-03-19,21558.4296875,21585.55078125,21425.7890625,21566.849609375,0.5675323634716789,True
2019-03-20,21548.650390625,21614.169921875,21499.16015625,21608.919921875,0.4858045547067956,False
2019-03-22,21713.259765625,21713.259765625,21542.029296875,21627.33984375,0.5124948793043296,True
2019-03-25,21267.41015625,21275.4296875,20911.5703125,20977.109375,0.5887858048508486,True
2019-03-26,21174.33984375,21460.990234375,21174.33984375,21428.390625,0.48633589472015387,False
2019-03-27,21353.609375,21388.58984375,21242.51953125,21378.73046875,0.5088403788726684,True
2019-03-28,21191.3203125,21191.3203125,20974.189453125,21033.759765625,0.543032591579779,True
